DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,RESIDENCE:Residence,EDUCATION_LEVEL:Education Level,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,SERIES_FOOTNOTE:Series footnote,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOWC_FLAG_A:SOWC flag A,OBS_FOOTNOTE:Observation footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,FREQ_COLL:Time interval at which the source data are collected
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_IDX: Social Institutions and Gender Index (SIGI),_T: Total,_T: Total,_T: Total,_T: Total,2019,52.8,,,PCNT: %,,,A: Normal value,Organisation for Economic Co-operation and Development (OECD),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,75.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_LF_PTCPN: Labour force participation rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,48.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,74.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,21.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,72.4,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,23.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,16.9,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,9.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_UNMPLY: Labour force unemployment rate,_T: Total,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,11,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,10.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,13.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_UNMPLY: Labour force unemployment rate,M: Male,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,12.3,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,8.2,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AFG: Afghanistan,GN_UNMPLY: Labour force unemployment rate,F: Female,Y_GE15: 15 years old and over,U: Urban,_T: Total,2019,34.6,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_MTNTY_LV_BNFTS: Maternity leave benefits,F: Female,_T: Total,_T: Total,_T: Total,2021,No,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_PTNTY_LV_BNFTS: Paternity leave benefits,M: Male,_T: Total,_T: Total,_T: Total,2021,Yes,,,BINARY: Binary,,,A: Normal value,World Bank Women Business and the Law,,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_LF_PTCPN: Labour force participation rate,F: Female,Y_GE15: 15 years old and over,R: Rural,_T: Total,2019,89.5,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
UNICEF:GENDER(1.0): Gender,AGO: Angola,GN_LF_PTCPN: Labour force participation rate,M: Male,Y_GE15: 15 years old and over,_T: Total,_T: Total,2019,78.8,,,PCNT: %,,,A: Normal value,International Labour Organization (ILO),,,
